Resultados de SVM con validacion cruzada (5 folds):

C=1, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.18187256728921863, 'accuracy': 0.49285714285714277, 'precision': 0.39070484784823023, 'recall': 0.49285714285714277, 'f1': 0.4248889258687341}, tiempo_total=0.16 segundos

C=1, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.17904468796438103, 'accuracy': 0.49292207792207793, 'precision': 0.3859165527455001, 'recall': 0.49292207792207793, 'f1': 0.42088078447330785}, tiempo_total=0.17 segundos

C=10, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.15950066817843647, 'accuracy': 0.4238311688311688, 'precision': 0.4340271530702154, 'recall': 0.4238311688311688, 'f1': 0.42550336419153423}, tiempo_total=0.26 segundos

C=10, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.15950066817843647, 'accuracy': 0.4238311688311688, 'precision': 0.4340271530702154, 'recall': 0.4238311688311688, 'f1': 0.42550336419153423}, tiempo_total=0.27 segundos

C=10, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.20787326240562648, 'accuracy': 0.4638961038961039, 'precision': 0.4764069312401979, 'recall': 0.4638961038961039, 'f1': 0.4652074169930332}, tiempo_total=0.29 segundos

C=10, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.2152455493470608, 'accuracy': 0.4711038961038961, 'precision': 0.47269870129870134, 'recall': 0.4711038961038961, 'f1': 0.46897816804525166}, tiempo_total=0.20 segundos

C=10, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.19551600362438112, 'accuracy': 0.4638311688311688, 'precision': 0.4534798111418665, 'recall': 0.4638311688311688, 'f1': 0.45468938595888053}, tiempo_total=0.20 segundos

C=10, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.188923310371005, 'accuracy': 0.47084415584415584, 'precision': 0.44376121899724386, 'recall': 0.47084415584415584, 'f1': 0.44909311727880946}, tiempo_total=0.20 segundos

C=10, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.10060995699187095, 'accuracy': 0.42376623376623385, 'precision': 0.4195711172391241, 'recall': 0.42376623376623385, 'f1': 0.3955621551648433}, tiempo_total=0.21 segundos

