Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.1737464542144779, 'accuracy': 0.4711038961038961, 'precision': 0.43767505100263726, 'recall': 0.4711038961038961, 'f1': 0.44261693701861765}, tiempo_total=1.60 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.19753653884252437, 'accuracy': 0.4925974025974026, 'precision': 0.42469040359365434, 'recall': 0.4925974025974026, 'f1': 0.44729090944469885}, tiempo_total=1.11 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.19753653884252437, 'accuracy': 0.4925974025974026, 'precision': 0.42469040359365434, 'recall': 0.4925974025974026, 'f1': 0.44729090944469885}, tiempo_total=1.09 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.15790704803753128, 'accuracy': 0.46032467532467525, 'precision': 0.4245150795523431, 'recall': 0.46032467532467525, 'f1': 0.431184380449415}, tiempo_total=1.52 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.18475035472400295, 'accuracy': 0.4855194805194805, 'precision': 0.41172321890633085, 'recall': 0.4855194805194805, 'f1': 0.43768047113956}, tiempo_total=1.08 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.18475035472400295, 'accuracy': 0.4855194805194805, 'precision': 0.41172321890633085, 'recall': 0.4855194805194805, 'f1': 0.43768047113956}, tiempo_total=1.06 segundos

criterion=gini, max_depth=7, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.17712948578478463, 'accuracy': 0.47103896103896103, 'precision': 0.4278639764102147, 'recall': 0.47103896103896103, 'f1': 0.44202242524941304}, tiempo_total=1.67 segundos

criterion=gini, max_depth=7, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.21695976310672052, 'accuracy': 0.5035064935064935, 'precision': 0.46908332169622485, 'recall': 0.5035064935064935, 'f1': 0.46662345712029973}, tiempo_total=1.10 segundos

criterion=gini, max_depth=7, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.21695976310672052, 'accuracy': 0.5035064935064935, 'precision': 0.46908332169622485, 'recall': 0.5035064935064935, 'f1': 0.46662345712029973}, tiempo_total=1.09 segundos

criterion=gini, max_depth=7, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.17132594064650666, 'accuracy': 0.4711038961038961, 'precision': 0.43255655766199685, 'recall': 0.4711038961038961, 'f1': 0.4388459499510712}, tiempo_total=1.59 segundos

criterion=gini, max_depth=7, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.192192108405343, 'accuracy': 0.4891558441558441, 'precision': 0.4251896078079326, 'recall': 0.4891558441558441, 'f1': 0.44336035807368823}, tiempo_total=1.10 segundos

criterion=gini, max_depth=7, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.192192108405343, 'accuracy': 0.4891558441558441, 'precision': 0.4251896078079326, 'recall': 0.4891558441558441, 'f1': 0.44336035807368823}, tiempo_total=1.14 segundos

criterion=gini, max_depth=7, min_samples_split=5, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.15790704803753128, 'accuracy': 0.46032467532467525, 'precision': 0.4245150795523431, 'recall': 0.46032467532467525, 'f1': 0.431184380449415}, tiempo_total=1.50 segundos

criterion=gini, max_depth=7, min_samples_split=5, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.18475035472400295, 'accuracy': 0.4855194805194805, 'precision': 0.41172321890633085, 'recall': 0.4855194805194805, 'f1': 0.43768047113956}, tiempo_total=1.14 segundos

