Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.01, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.0, 'accuracy': 0.24888888888888888, 'precision': 0.06375308641975308, 'recall': 0.24888888888888888, 'f1': 0.10104118104118105}, tiempo_total=0.10 segundos

C=0.01, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.1298464707103968, 'accuracy': 0.33111111111111113, 'precision': 0.3731322751322751, 'recall': 0.33111111111111113, 'f1': 0.31253968253968256}, tiempo_total=0.24 segundos

C=0.01, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.09427425928665534, 'accuracy': 0.30888888888888894, 'precision': 0.3165396825396825, 'recall': 0.30888888888888894, 'f1': 0.2707936507936508}, tiempo_total=0.13 segundos

C=0.01, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.14804221950037308, 'accuracy': 0.35333333333333333, 'precision': 0.41498412698412696, 'recall': 0.35333333333333333, 'f1': 0.3347619047619047}, tiempo_total=0.39 segundos

C=0.01, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.14782550782550777, 'accuracy': 0.35333333333333333, 'precision': 0.39142857142857135, 'recall': 0.35333333333333333, 'f1': 0.3244444444444444}, tiempo_total=0.25 segundos

C=0.01, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.06742616888432254, 'accuracy': 0.29111111111111115, 'precision': 0.2886878306878307, 'recall': 0.29111111111111115, 'f1': 0.2614285714285714}, tiempo_total=0.31 segundos

C=0.01, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.06510121457489877, 'accuracy': 0.29333333333333333, 'precision': 0.27455555555555555, 'recall': 0.29333333333333333, 'f1': 0.26616931216931217}, tiempo_total=0.18 segundos

C=0.1, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0, 'accuracy': 0.23111111111111113, 'precision': 0.05609876543209876, 'recall': 0.23111111111111113, 'f1': 0.08949494949494949}, tiempo_total=0.11 segundos

C=0.1, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.0, 'accuracy': 0.2088888888888889, 'precision': 0.04375308641975308, 'recall': 0.2088888888888889, 'f1': 0.07232323232323233}, tiempo_total=0.10 segundos

C=0.1, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.22953325600179553, 'accuracy': 0.41555555555555557, 'precision': 0.41955555555555557, 'recall': 0.41555555555555557, 'f1': 0.37439153439153433}, tiempo_total=0.16 segundos

C=0.1, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.23235998235998231, 'accuracy': 0.41555555555555557, 'precision': 0.4404814814814816, 'recall': 0.41555555555555557, 'f1': 0.38675132275132273}, tiempo_total=0.12 segundos

C=0.1, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.22953325600179553, 'accuracy': 0.41555555555555557, 'precision': 0.41955555555555557, 'recall': 0.41555555555555557, 'f1': 0.37439153439153433}, tiempo_total=0.14 segundos

C=0.1, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.23235998235998231, 'accuracy': 0.41555555555555557, 'precision': 0.4404814814814816, 'recall': 0.41555555555555557, 'f1': 0.38675132275132273}, tiempo_total=0.13 segundos

C=0.1, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.22953325600179553, 'accuracy': 0.41555555555555557, 'precision': 0.41955555555555557, 'recall': 0.41555555555555557, 'f1': 0.37439153439153433}, tiempo_total=0.15 segundos

C=0.1, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.23235998235998231, 'accuracy': 0.41555555555555557, 'precision': 0.4404814814814816, 'recall': 0.41555555555555557, 'f1': 0.38675132275132273}, tiempo_total=0.12 segundos

C=0.1, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': -0.038597219340112024, 'accuracy': 0.18666666666666668, 'precision': 0.051555555555555556, 'recall': 0.18666666666666668, 'f1': 0.07925925925925927}, tiempo_total=0.11 segundos

C=0.1, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': -0.08467450271247734, 'accuracy': 0.14444444444444446, 'precision': 0.04756613756613757, 'recall': 0.14444444444444446, 'f1': 0.07098765432098764}, tiempo_total=0.10 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.1298464707103968, 'accuracy': 0.33111111111111113, 'precision': 0.3731322751322751, 'recall': 0.33111111111111113, 'f1': 0.31253968253968256}, tiempo_total=0.25 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.09427425928665534, 'accuracy': 0.30888888888888894, 'precision': 0.3165396825396825, 'recall': 0.30888888888888894, 'f1': 0.2707936507936508}, tiempo_total=0.13 segundos

C=0.1, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.14804221950037308, 'accuracy': 0.35333333333333333, 'precision': 0.41498412698412696, 'recall': 0.35333333333333333, 'f1': 0.3347619047619047}, tiempo_total=0.38 segundos

C=0.1, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.14782550782550777, 'accuracy': 0.35333333333333333, 'precision': 0.39142857142857135, 'recall': 0.35333333333333333, 'f1': 0.3244444444444444}, tiempo_total=0.26 segundos

C=0.1, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.06742616888432254, 'accuracy': 0.29111111111111115, 'precision': 0.2886878306878307, 'recall': 0.29111111111111115, 'f1': 0.2614285714285714}, tiempo_total=0.31 segundos

C=0.1, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.06510121457489877, 'accuracy': 0.29333333333333333, 'precision': 0.27455555555555555, 'recall': 0.29333333333333333, 'f1': 0.26616931216931217}, tiempo_total=0.16 segundos

C=1, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.13872092819461235, 'accuracy': 0.3488888888888889, 'precision': 0.3331851851851852, 'recall': 0.3488888888888889, 'f1': 0.29794708994708996}, tiempo_total=0.23 segundos

C=1, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.1462142377396614, 'accuracy': 0.3488888888888889, 'precision': 0.3442962962962963, 'recall': 0.3488888888888889, 'f1': 0.3064126984126984}, tiempo_total=0.17 segundos

C=1, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.20328285462021442, 'accuracy': 0.39333333333333326, 'precision': 0.46799999999999997, 'recall': 0.39333333333333326, 'f1': 0.3840952380952381}, tiempo_total=0.19 segundos

C=1, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.14813363225787723, 'accuracy': 0.3511111111111111, 'precision': 0.45511111111111113, 'recall': 0.3511111111111111, 'f1': 0.3513968253968254}, tiempo_total=0.14 segundos

C=1, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.20328285462021442, 'accuracy': 0.39333333333333326, 'precision': 0.46799999999999997, 'recall': 0.39333333333333326, 'f1': 0.3840952380952381}, tiempo_total=0.22 segundos

C=1, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.14813363225787723, 'accuracy': 0.3511111111111111, 'precision': 0.45511111111111113, 'recall': 0.3511111111111111, 'f1': 0.3513968253968254}, tiempo_total=0.17 segundos

C=1, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.20328285462021442, 'accuracy': 0.39333333333333326, 'precision': 0.46799999999999997, 'recall': 0.39333333333333326, 'f1': 0.3840952380952381}, tiempo_total=0.16 segundos

C=1, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.14813363225787723, 'accuracy': 0.3511111111111111, 'precision': 0.45511111111111113, 'recall': 0.3511111111111111, 'f1': 0.3513968253968254}, tiempo_total=0.12 segundos

C=1, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.17710622849647037, 'accuracy': 0.37111111111111106, 'precision': 0.4172592592592593, 'recall': 0.37111111111111106, 'f1': 0.35765079365079366}, tiempo_total=0.23 segundos

C=1, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.1731876668888553, 'accuracy': 0.37111111111111106, 'precision': 0.4394814814814815, 'recall': 0.37111111111111106, 'f1': 0.35987301587301584}, tiempo_total=0.18 segundos

C=1, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.1298464707103968, 'accuracy': 0.33111111111111113, 'precision': 0.3731322751322751, 'recall': 0.33111111111111113, 'f1': 0.31253968253968256}, tiempo_total=0.24 segundos

