Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.73153046777483, 'accuracy': 0.9106382978723403, 'precision': 0.9066178955401087, 'recall': 0.9106382978723403, 'f1': 0.9049916270168922, 'roc_auc': 0.9739867125951399}, tiempo_total=1.64 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.73153046777483, 'accuracy': 0.9106382978723403, 'precision': 0.9066178955401087, 'recall': 0.9106382978723403, 'f1': 0.9049916270168922, 'roc_auc': 0.9739867125951399}, tiempo_total=1.58 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7795189930191178, 'accuracy': 0.9252955082742316, 'precision': 0.9239120980468204, 'recall': 0.9252955082742316, 'f1': 0.9204028099870876, 'roc_auc': 0.9713445929631943}, tiempo_total=3.56 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7277904945771446, 'accuracy': 0.909692671394799, 'precision': 0.9056797017680521, 'recall': 0.909692671394799, 'f1': 0.9038090869348648, 'roc_auc': 0.9730570929733986}, tiempo_total=1.57 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7277904945771446, 'accuracy': 0.909692671394799, 'precision': 0.9056797017680521, 'recall': 0.909692671394799, 'f1': 0.9038090869348648, 'roc_auc': 0.9730570929733986}, tiempo_total=1.59 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.8064733622537789, 'accuracy': 0.9333333333333333, 'precision': 0.9317130194797025, 'recall': 0.9333333333333333, 'f1': 0.9302913435110479, 'roc_auc': 0.9781484275594025}, tiempo_total=4.57 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.804041571225714, 'accuracy': 0.9333333333333333, 'precision': 0.9313644048720839, 'recall': 0.9333333333333333, 'f1': 0.9301526959777993, 'roc_auc': 0.981449487351868}, tiempo_total=1.83 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.804041571225714, 'accuracy': 0.9333333333333333, 'precision': 0.9313644048720839, 'recall': 0.9333333333333333, 'f1': 0.9301526959777993, 'roc_auc': 0.981449487351868}, tiempo_total=1.85 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.8080304897434765, 'accuracy': 0.933806146572104, 'precision': 0.9321398937126009, 'recall': 0.933806146572104, 'f1': 0.9308214559195689, 'roc_auc': 0.977664193998027}, tiempo_total=4.55 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7823960163035195, 'accuracy': 0.9257683215130024, 'precision': 0.9230447254392384, 'recall': 0.9257683215130024, 'f1': 0.9223171052024046, 'roc_auc': 0.98147055837437}, tiempo_total=1.88 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7823960163035195, 'accuracy': 0.9257683215130024, 'precision': 0.9230447254392384, 'recall': 0.9257683215130024, 'f1': 0.9223171052024046, 'roc_auc': 0.98147055837437}, tiempo_total=1.79 segundos

