Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.1, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7714285714285714, 'accuracy': 0.8476190476190476, 'precision': 0.8565604234060423, 'recall': 0.8476190476190476, 'f1': 0.8485929969579381, 'roc_auc': 0.9480272108843538}, tiempo_total=0.38 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.7571428571428571, 'accuracy': 0.838095238095238, 'precision': 0.8420382956907944, 'recall': 0.838095238095238, 'f1': 0.8386430794237585, 'roc_auc': 0.946204081632653}, tiempo_total=0.34 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.76, 'accuracy': 0.8399999999999999, 'precision': 0.8425962595227551, 'recall': 0.8399999999999999, 'f1': 0.8401972361312844, 'roc_auc': 0.948843537414966}, tiempo_total=0.30 segundos

C=0.1, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.76, 'accuracy': 0.8399999999999999, 'precision': 0.8434368418191948, 'recall': 0.8399999999999999, 'f1': 0.8405229295646649, 'roc_auc': 0.9457142857142857}, tiempo_total=2.09 segundos

C=0.1, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7657142857142857, 'accuracy': 0.8438095238095237, 'precision': 0.846202397649017, 'recall': 0.8438095238095237, 'f1': 0.8440316048605755, 'roc_auc': 0.9493061224489796}, tiempo_total=1.71 segundos

