Resultados de SVM con validacion cruzada (5 folds):

C=0.001, C=0.001, gamma=scale, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.39 segundos
C=10, C=10, gamma=scale, degree=9 --> {'cohen_kappa': 0.597880644870402, 'accuracy': 0.798572184029614, 'precision': 0.8084684682515606, 'recall': 0.798572184029614, 'f1': 0.7992503823386488, 'roc_auc': 0.8039980421283873}, tiempo_total=0.41 segundos

C=10, C=10, gamma=scale, degree=10 --> {'cohen_kappa': 0.576538712660397, 'accuracy': 0.7876784769962983, 'precision': 0.7988965150191738, 'recall': 0.7876784769962983, 'f1': 0.7882400015824776, 'roc_auc': 0.7933648400016514}, tiempo_total=0.32 segundos

C=10, C=10, gamma=auto, degree=2 --> {'cohen_kappa': 0.681413999800138, 'accuracy': 0.8420588753745812, 'precision': 0.845530598163011, 'recall': 0.8420588753745812, 'f1': 0.8422874765545135, 'roc_auc': 0.8432674352332254}, tiempo_total=0.32 segundos

C=10, C=10, gamma=auto, degree=3 --> {'cohen_kappa': 0.6590932349494106, 'accuracy': 0.8311475409836065, 'precision': 0.8336740374413368, 'recall': 0.8311475409836065, 'f1': 0.831481173196576, 'roc_auc': 0.8316320417515296}, tiempo_total=0.30 segundos

C=10, C=10, gamma=auto, degree=4 --> {'cohen_kappa': 0.6350695094971485, 'accuracy': 0.8180680416005641, 'precision': 0.8240393846948615, 'recall': 0.8180680416005641, 'f1': 0.818750181240584, 'roc_auc': 0.8214803010944214}, tiempo_total=0.32 segundos

C=10, C=10, gamma=auto, degree=5 --> {'cohen_kappa': 0.6427465758541768, 'accuracy': 0.8213819848404725, 'precision': 0.8296130141808089, 'recall': 0.8213819848404725, 'f1': 0.8220663210479058, 'roc_auc': 0.8263426098151104}, tiempo_total=0.34 segundos

C=10, C=10, gamma=auto, degree=6 --> {'cohen_kappa': 0.6284489563058663, 'accuracy': 0.8137845936894059, 'precision': 0.8237458955879908, 'recall': 0.8137845936894059, 'f1': 0.8144675610240384, 'roc_auc': 0.8198185219094757}, tiempo_total=0.30 segundos

C=10, C=10, gamma=auto, degree=7 --> {'cohen_kappa': 0.6280294757216557, 'accuracy': 0.813802221047065, 'precision': 0.8231560418674867, 'recall': 0.813802221047065, 'f1': 0.8144352140143326, 'roc_auc': 0.8192262872253486}, tiempo_total=0.28 segundos

C=10, C=10, gamma=auto, degree=8 --> {'cohen_kappa': 0.5929745925226643, 'accuracy': 0.7953111228626829, 'precision': 0.8092523843439725, 'recall': 0.7953111228626829, 'f1': 0.7958041353574007, 'roc_auc': 0.8023926188960717}, tiempo_total=0.29 segundos

C=10, C=10, gamma=auto, degree=9 --> {'cohen_kappa': 0.5729602893989942, 'accuracy': 0.7844526705446853, 'precision': 0.8024978654793925, 'recall': 0.7844526705446853, 'f1': 0.7845982151135592, 'roc_auc': 0.7931457686655154}, tiempo_total=0.28 segundos

C=10, C=10, gamma=auto, degree=10 --> {'cohen_kappa': 0.565534874026967, 'accuracy': 0.78011634056055, 'precision': 0.8017790364362153, 'recall': 0.78011634056055, 'f1': 0.7798576119773794, 'roc_auc': 0.7900542183817886}, tiempo_total=0.29 segundos

C=15, C=15, gamma=scale, degree=2 --> {'cohen_kappa': 0.6633314527801176, 'accuracy': 0.8332980786180151, 'precision': 0.8367270073649916, 'recall': 0.8332980786180151, 'f1': 0.8334664863656706, 'roc_auc': 0.8338012024168926}, tiempo_total=0.28 segundos

C=15, C=15, gamma=scale, degree=3 --> {'cohen_kappa': 0.636469788823965, 'accuracy': 0.8202362065926317, 'precision': 0.8228184272970214, 'recall': 0.8202362065926317, 'f1': 0.8203616917846187, 'roc_auc': 0.8197193367999522}, tiempo_total=0.27 segundos

C=15, C=15, gamma=scale, degree=4 --> {'cohen_kappa': 0.6142271348545999, 'accuracy': 0.8082319760267935, 'precision': 0.8124398162406999, 'recall': 0.8082319760267935, 'f1': 0.8087661052331272, 'roc_auc': 0.8103091633633251}, tiempo_total=0.28 segundos

C=15, C=15, gamma=scale, degree=5 --> {'cohen_kappa': 0.6100593218404424, 'accuracy': 0.8061343204653623, 'precision': 0.810186341976503, 'recall': 0.8061343204653623, 'f1': 0.8067765660189454, 'roc_auc': 0.8080750892813606}, tiempo_total=0.35 segundos

C=15, C=15, gamma=scale, degree=6 --> {'cohen_kappa': 0.5980800381619101, 'accuracy': 0.7995945707738411, 'precision': 0.8057051488747999, 'recall': 0.7995945707738411, 'f1': 0.8002732242802058, 'roc_auc': 0.8028304792091252}, tiempo_total=0.32 segundos

