Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.1, penalty=l1, solver=saga --> {'cohen_kappa': 0.6554217500305091, 'accuracy': 0.828048780487805, 'precision': 0.8302910359713935, 'recall': 0.828048780487805, 'f1': 0.8278420271176199, 'roc_auc': 0.8279849344366536}, tiempo_total=0.13segundos

C=0.1, penalty=l2, solver=lbfgs --> {'cohen_kappa': 0.684607102389531, 'accuracy': 0.8426829268292682, 'precision': 0.8446026889761722, 'recall': 0.8426829268292682, 'f1': 0.8425129433405367, 'roc_auc': 0.842460206770339}, tiempo_total=0.12segundos

C=0.1, penalty=l2, solver=liblinear --> {'cohen_kappa': 0.6553892545848778, 'accuracy': 0.828048780487805, 'precision': 0.8298991857157928, 'recall': 0.828048780487805, 'f1': 0.8279120162787518, 'roc_auc': 0.828035425741015}, tiempo_total=0.10segundos

C=0.1, penalty=l2, solver=saga --> {'cohen_kappa': 0.684607102389531, 'accuracy': 0.8426829268292682, 'precision': 0.8446026889761722, 'recall': 0.8426829268292682, 'f1': 0.8425129433405367, 'roc_auc': 0.842460206770339}, tiempo_total=0.12segundos

C=0.1, penalty=l2, solver=newton-cg --> {'cohen_kappa': 0.6870308679660206, 'accuracy': 0.8439024390243901, 'precision': 0.8458245621033175, 'recall': 0.8439024390243901, 'f1': 0.8437272363810889, 'roc_auc': 0.8436506829608152}, tiempo_total=0.12segundos

C=0.1, penalty=elasticnet, solver=saga --> {'cohen_kappa': 0.6774042698659961, 'accuracy': 0.8390243902439025, 'precision': 0.8412275728221879, 'recall': 0.8390243902439025, 'f1': 0.8388408918864819, 'roc_auc': 0.8389845818480659}, tiempo_total=0.13segundos

C=0.1, penalty=None, solver=lbfgs --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.13segundos

C=0.1, penalty=None, solver=saga --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

