Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7624766056901832, 'accuracy': 0.8516129032258064, 'precision': 0.8563001455005219, 'recall': 0.8516129032258064, 'f1': 0.8508577508538864, 'roc_auc': 0.9494305555555556}, tiempo_total=1.22 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7449352088452632, 'accuracy': 0.8419354838709678, 'precision': 0.8421033912760014, 'recall': 0.8419354838709678, 'f1': 0.83762932444445, 'roc_auc': 0.950498015873016}, tiempo_total=1.06 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7449352088452632, 'accuracy': 0.8419354838709678, 'precision': 0.8421033912760014, 'recall': 0.8419354838709678, 'f1': 0.83762932444445, 'roc_auc': 0.950498015873016}, tiempo_total=1.06 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7417687694516676, 'accuracy': 0.8387096774193548, 'precision': 0.8439498218004531, 'recall': 0.8387096774193548, 'f1': 0.8380745026630854, 'roc_auc': 0.9488253968253968}, tiempo_total=1.24 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7342137612346676, 'accuracy': 0.835483870967742, 'precision': 0.8355411700268732, 'recall': 0.835483870967742, 'f1': 0.8306082307204703, 'roc_auc': 0.9505158730158729}, tiempo_total=1.11 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7342137612346676, 'accuracy': 0.835483870967742, 'precision': 0.8355411700268732, 'recall': 0.835483870967742, 'f1': 0.8306082307204703, 'roc_auc': 0.9505158730158729}, tiempo_total=1.09 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7524624282331132, 'accuracy': 0.8451612903225806, 'precision': 0.8516437618015459, 'recall': 0.8451612903225806, 'f1': 0.844819840273748, 'roc_auc': 0.9488293650793651}, tiempo_total=1.27 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7237582971331145, 'accuracy': 0.8290322580645162, 'precision': 0.8300999368486636, 'recall': 0.8290322580645162, 'f1': 0.8236458345482136, 'roc_auc': 0.950577380952381}, tiempo_total=1.12 segundos

criterion=gini, max_depth=5, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7237582971331145, 'accuracy': 0.8290322580645162, 'precision': 0.8300999368486636, 'recall': 0.8290322580645162, 'f1': 0.8236458345482136, 'roc_auc': 0.950577380952381}, tiempo_total=1.05 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7317454230912259, 'accuracy': 0.832258064516129, 'precision': 0.8370157260079638, 'recall': 0.832258064516129, 'f1': 0.8319485417084953, 'roc_auc': 0.9458303571428572}, tiempo_total=1.26 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7612854677299732, 'accuracy': 0.8516129032258064, 'precision': 0.8511344224763151, 'recall': 0.8516129032258064, 'f1': 0.8495333011797372, 'roc_auc': 0.951938492063492}, tiempo_total=1.08 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7612854677299732, 'accuracy': 0.8516129032258064, 'precision': 0.8511344224763151, 'recall': 0.8516129032258064, 'f1': 0.8495333011797372, 'roc_auc': 0.951938492063492}, tiempo_total=1.08 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7368070018736349, 'accuracy': 0.835483870967742, 'precision': 0.8393513051397079, 'recall': 0.835483870967742, 'f1': 0.8355426796252139, 'roc_auc': 0.9469424603174605}, tiempo_total=1.28 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7558211474872885, 'accuracy': 0.8483870967741935, 'precision': 0.8487416387672427, 'recall': 0.8483870967741935, 'f1': 0.8453878546733252, 'roc_auc': 0.9531150793650793}, tiempo_total=1.08 segundos

criterion=gini, max_depth=7, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7558211474872885, 'accuracy': 0.8483870967741935, 'precision': 0.8487416387672427, 'recall': 0.8483870967741935, 'f1': 0.8453878546733252, 'roc_auc': 0.9531150793650793}, tiempo_total=1.11 segundos

